connected;original;sens unique;trafic;weight
1;2;0;0;13
0;2;0;0;21
3;6;0;1;30
13;6;0;0;38
25;8;0;0;55
9;10;0;2;7
7;10;0;0;4
10;12;0;0;6
15;12;0;2;14
4;13;0;0;72
50;14;0;2;29
6;14;0;1;67
11;18;0;0;12
20;18;1;0;206
12;19;0;0;6
18;19;0;0;194
24;20;1;0;94
14;21;0;1;13
44;21;0;0;141
16;22;0;2;41
22;26;1;2;11
22;26;1;2;11
21;27;0;1;130
56;27;1;0;16
29;30;0;2;0
27;30;0;1;24
23;31;0;0;13
30;31;0;1;33
31;32;0;1;1
46;32;0;0;6
2;34;0;0;52
5;34;0;0;42
38;35;1;1;117
19;35;0;0;157
26;36;0;2;23
35;36;1;1;211
32;37;0;1;18
49;37;0;0;14
39;38;1;1;120
41;39;1;1;135
20;39;1;0;26
24;40;1;0;201
37;40;0;1;3
43;41;0;1;10
81;41;0;1;23
40;42;0;1;3
54;42;0;0;8
42;43;0;1;21
53;46;0;3;80
38;47;0;0;4
60;48;0;0;7
45;48;0;0;14
76;49;0;4;142
46;49;0;3;17
48;51;0;2;50
33;51;0;2;11
36;52;1;1;191
57;53;0;3;54
30;53;0;0;18
87;54;1;0;78
78;54;1;0;22
51;55;0;2;3
61;55;0;0;2
59;56;1;0;8
57;56;0;0;1
82;57;0;0;8
55;59;0;0;13
93;60;0;0;15
70;61;0;0;11
80;61;0;0;9
64;62;1;1;128
52;62;1;1;76
75;63;0;2;6
58;63;0;2;7
69;64;1;1;7
53;65;0;0;6
63;65;0;2;4
71;66;1;0;6
47;66;1;0;53
62;67;1;1;79
101;67;1;0;12
67;69;1;1;9
99;69;0;0;12
60;70;0;0;4
47;71;1;0;39
64;72;0;1;9
152;72;0;1;29
66;74;1;0;57
35;74;1;0;138
87;76;0;0;11
103;76;0;4;30
85;77;0;0;3
68;77;0;0;3
91;78;0;0;3
78;79;1;0;78
43;79;1;0;68
77;80;0;0;6
86;80;0;0;4
79;81;1;0;102
104;82;0;0;14
117;82;0;0;8
100;84;1;0;14
65;84;0;0;5
91;87;0;0;18
81;88;0;1;7
71;89;1;0;105
88;89;1;0;12
89;90;1;0;5
66;90;1;0;10
95;91;1;0;82
92;93;0;0;5
70;93;0;0;9
147;94;0;0;25
118;94;0;0;14
87;94;0;0;11
88;95;0;1;139
137;95;0;1;29
135;96;1;0;108
90;96;1;0;14
96;97;1;0;3
74;97;1;0;70
99;99;1;0;0
101;99;0;5;34
125;100;1;0;18
83;100;0;2;11
109;101;1;0;3
105;102;0;0;4
98;102;0;0;6
97;106;1;0;17
52;106;1;0;26
106;109;1;0;10
128;109;0;5;22
116;109;0;5;131
84;111;0;0;6
117;111;0;0;9
114;112;0;0;9
59;112;0;0;20
107;114;0;0;18
102;114;0;0;6
125;115;0;2;94
110;115;0;2;0
116;116;1;5;0
126;117;0;0;4
124;117;0;0;12
120;118;0;0;5
103;118;0;0;12
115;119;0;2;2
131;120;0;0;12
108;120;0;0;12
112;121;0;0;4
124;121;1;0;1
17;123;0;0;61
34;123;0;0;28
130;124;1;0;2
129;125;0;0;12
122;126;0;2;10
146;126;0;0;8
121;127;1;0;13
139;127;0;0;33
111;129;0;0;9
127;130;1;0;2
140;131;0;0;13
119;131;0;2;8
123;132;0;0;107
136;133;0;0;6
118;133;0;0;9
137;135;1;0;104
143;135;0;0;6
120;136;0;0;8
138;136;0;0;5
142;137;0;1;3
113;139;0;0;44
146;140;0;0;13
129;140;0;0;7
130;141;0;0;6
134;141;0;0;27
145;142;0;1;2
147;142;0;0;19
148;143;0;0;2
167;145;0;1;15
143;145;1;0;56
156;146;0;3;23
150;147;0;0;14
185;148;0;0;20
153;148;0;0;16
163;149;0;0;7
141;149;0;0;3
161;150;1;0;27
133;150;0;0;7
166;151;0;2;16
139;151;0;2;13
184;152;0;0;32
157;152;0;1;1
106;153;0;0;35
147;155;0;0;5
150;158;1;0;5
165;158;0;2;20
144;159;0;2;17
151;159;0;2;9
13;160;0;0;50
154;160;0;0;48
190;161;0;0;31
162;161;1;0;3
171;162;1;0;27
140;162;0;0;10
149;163;0;0;8
179;164;0;0;55
176;165;0;2;5
168;165;0;2;4
185;167;1;0;21
183;167;0;1;9
163;170;0;0;3
172;170;1;0;1
182;171;0;0;11
172;171;1;0;4
175;172;1;0;2
169;173;0;1;34
177;174;0;0;8
170;174;1;0;2
174;175;1;0;2
159;177;0;2;11
180;177;0;0;10
194;178;0;0;6
175;178;0;0;1
34;179;0;0;63
186;180;0;0;5
209;180;0;0;30
181;182;0;0;5
192;183;1;0;58
202;183;0;1;17
192;185;0;0;5
197;186;0;0;21
216;186;0;0;37
182;187;0;0;5
198;192;0;0;3
160;193;0;0;24
178;194;0;0;7
248;195;0;2;114
28;196;0;3;343
199;197;0;0;6
188;197;0;2;3
203;198;0;0;16
203;198;0;0;16
193;199;0;0;45
208;199;0;2;8
73;200;0;0;39
205;200;0;0;8
200;201;0;0;8
132;201;0;0;342
211;202;0;1;7
211;202;0;1;7
153;203;0;0;52
210;203;0;0;10
210;203;0;0;10
201;204;0;0;6
243;205;0;0;77
204;205;0;0;9
207;206;0;0;8
194;206;0;0;8
189;207;0;0;23
221;207;0;2;29
196;210;0;2;33
212;211;0;0;149
158;211;0;0;40
212;211;0;0;149
214;211;0;1;5
198;212;0;0;27
232;212;0;1;131
232;212;0;1;131
210;212;1;0;52
217;213;1;0;4
191;213;0;6;90
225;214;0;1;10
231;215;0;2;37
213;215;1;0;8
217;215;1;0;12
218;217;0;0;2
222;218;0;0;9
230;218;0;2;10
240;219;0;0;231
215;219;0;0;24
233;220;0;2;8
219;220;0;0;3
242;223;0;2;180
206;223;0;0;12
220;223;0;0;13
223;224;0;5;10
227;224;0;2;1
239;225;0;1;15
222;225;0;0;13
324;226;0;1;76
196;229;0;3;59
244;232;0;0;28
260;232;0;1;18
260;232;0;1;18
238;233;0;2;231
268;235;0;0;28
236;236;0;5;0
224;236;0;5;32
242;238;0;0;17
254;239;0;1;10
273;239;0;2;50
238;240;0;0;3
245;241;1;5;3
272;242;0;0;43
250;245;1;5;5
236;245;0;5;30
241;247;1;5;3
193;247;0;0;74
271;248;0;3;82
246;248;0;4;5
132;249;0;0;169
179;249;0;0;58
247;250;1;5;5
228;251;0;0;46
256;251;0;0;35
259;253;0;4;39
264;254;0;1;18
240;254;0;0;29
258;255;0;0;1
226;259;0;1;30
274;259;0;0;96
263;260;0;1;5
237;261;0;0;97
255;261;0;0;20
249;262;0;0;15
257;262;0;0;11
275;263;0;1;15
282;264;0;1;26
260;265;1;1;10
263;265;1;1;5
393;267;0;0;123
393;267;0;0;123
265;267;0;1;5
265;267;0;1;5
261;269;0;0;22
284;269;0;0;22
262;270;0;0;8
269;270;0;0;98
301;271;0;3;75
234;271;0;0;138
282;272;0;0;11
266;272;0;0;64
264;273;0;0;35
280;275;1;0;8
281;275;0;1;4
264;276;0;3;183
289;278;0;0;62
259;278;0;1;13
290;280;0;0;25
273;280;0;0;12
305;281;0;1;17
280;281;0;0;3
311;282;0;1;49
323;284;0;0;49
371;284;0;0;48
279;285;0;0;42
295;285;0;0;12
229;286;0;3;116
278;287;0;1;6
277;287;0;0;732
279;288;0;0;17
294;288;0;0;194
204;291;0;0;60
282;292;0;2;18
298;292;0;2;4
303;294;0;2;13
288;295;0;0;72
323;296;0;1;71
323;296;0;1;71
284;296;0;0;22
286;299;0;2;48
210;299;0;0;88
285;300;0;0;39
295;300;0;0;10
283;301;0;0;59
340;301;0;3;71
314;302;0;2;8
312;303;0;2;7
292;303;0;2;9
325;305;0;1;10
300;305;0;0;5
321;306;0;2;16
311;307;1;1;3
250;307;0;5;59
297;308;0;2;13
299;308;0;2;13
267;309;0;1;28
252;310;0;0;55
313;310;0;0;16
316;311;1;1;8
322;313;0;0;16
293;313;0;4;18
303;314;0;2;8
320;314;0;2;8
309;315;0;2;27
308;315;0;2;10
327;316;0;1;32
307;316;1;1;6
327;316;0;1;32
270;317;0;0;54
291;317;0;0;230
317;318;0;0;2
304;319;0;0;71
287;319;0;1;12
326;321;0;2;8
314;321;0;2;9
346;322;0;0;293
397;323;0;4;199
321;325;0;2;7
385;325;0;1;22
318;328;0;0;10
317;329;0;0;19
332;329;0;0;4
268;330;0;0;50
296;331;0;1;18
251;331;0;0;80
296;331;0;1;18
318;332;0;0;40
336;332;0;0;12
309;335;0;1;12
315;335;0;2;35
291;337;0;0;56
334;338;0;4;8
344;338;0;0;44
327;339;0;1;53
327;339;0;1;53
466;340;0;3;170
333;340;0;0;90
359;341;0;0;11
331;341;0;1;8
344;343;0;1;8
338;343;0;0;32
358;344;0;4;34
341;344;0;1;12
335;345;0;1;7
348;345;1;0;2
375;346;0;4;30
339;346;0;1;55
330;347;0;0;9
330;347;0;0;9
356;348;0;0;37
352;348;1;0;3
350;349;0;0;13
343;349;0;1;9
363;350;0;4;16
343;350;0;0;34
345;351;0;1;3
351;352;1;0;3
349;353;0;1;4
349;353;0;0;4
329;354;0;0;27
374;354;0;0;28
361;355;1;7;4
299;356;0;0;63
376;359;0;0;6
368;359;0;4;10
370;361;1;7;4
346;361;0;1;104
360;362;0;0;19
354;362;0;0;4
481;365;0;0;191
319;365;0;1;16
337;366;0;0;102
355;367;1;7;4
235;369;0;0;101
357;369;0;4;16
373;370;1;7;3
419;370;0;7;39
328;371;0;0;26
426;371;0;0;32
362;372;0;0;13
366;372;0;0;0
367;373;1;7;2
364;374;0;0;6
383;374;0;0;46
411;376;0;0;15
397;376;0;0;70
352;377;0;0;14
390;377;0;2;24
381;378;0;0;109
389;379;0;2;188
367;379;0;7;167
413;380;0;0;309
372;382;0;0;19
372;382;0;0;19
425;384;0;0;41
382;384;0;0;7
447;386;0;0;191
403;386;0;0;40
414;387;0;2;20
373;387;1;2;15
384;388;0;0;9
401;388;0;0;8
337;388;0;0;56
392;389;0;2;2
387;389;0;2;11
408;390;0;2;11
356;390;0;2;117
407;392;0;0;10
410;394;0;2;12
353;394;0;1;29
416;396;1;2;17
399;396;0;2;4
418;397;0;0;12
342;398;0;0;918
365;398;0;1;12
394;400;0;1;5
417;401;0;0;17
395;401;0;0;30
450;401;0;0;24
377;402;0;0;17
396;404;1;2;25
347;404;0;0;27
351;405;0;1;21
402;405;0;0;18
391;409;0;2;41
398;409;0;1;3
422;411;0;0;47
451;411;0;0;17
406;412;0;2;11
386;415;0;0;70
606;415;0;0;155
412;416;0;2;3
388;417;0;0;33
428;417;0;0;19
487;418;0;0;188
474;419;0;7;120
400;420;0;1;9
423;420;0;0;12
432;421;0;2;43
404;421;0;0;9
416;421;0;2;14
400;423;0;0;10
421;424;0;0;3
429;425;0;0;6
425;426;0;0;7
430;429;0;0;7
491;429;0;0;38
426;430;0;0;7
524;430;0;0;50
369;431;0;0;39
310;431;0;0;71
415;433;0;0;47
412;434;0;2;33
424;434;0;0;6
437;436;0;0;0
424;436;0;2;58
434;439;0;0;3
479;440;0;2;103
409;440;0;1;10
420;442;0;0;15
420;442;0;1;15
436;443;0;0;6
446;443;0;0;5
441;445;0;2;14
439;445;0;0;4
454;446;0;5;19
527;447;0;0;37
527;447;0;0;37
443;449;0;0;5
435;450;0;0;14
456;450;0;0;5
455;450;0;0;6
462;451;0;0;5
462;451;0;0;5
442;452;0;1;6
484;452;0;2;58
440;453;0;1;4
438;453;0;2;41
439;454;0;0;17
445;454;0;0;12
465;456;0;0;11
467;456;0;0;21
444;456;0;0;10
449;457;0;0;35
452;457;0;1;6
433;460;0;0;27
458;460;0;0;16
454;461;0;0;10
427;461;0;2;44
470;463;0;0;22
471;463;0;0;19
463;464;0;0;3
461;464;0;0;9
480;465;0;0;12
433;465;0;0;23
460;469;0;0;6
476;469;0;0;16
483;470;0;5;58
464;470;0;0;14
457;471;0;1;20
385;472;0;1;26
375;472;0;4;162
499;474;1;1;32
511;474;0;7;165
468;476;0;0;14
485;476;0;0;19
431;477;0;0;32
461;477;0;0;19
494;478;0;0;20
469;478;0;0;8
482;479;1;2;6
478;480;0;0;22
486;480;0;0;6
505;480;0;0;12
533;482;0;2;40
479;482;1;2;6
493;483;0;4;6
471;483;0;1;10
423;484;0;0;101
502;485;0;0;45
490;486;0;0;5
503;486;0;0;8
473;488;0;6;48
453;488;0;1;14
477;489;0;0;7
475;490;0;0;10
491;490;0;0;4
559;491;0;0;72
521;491;0;0;12
510;492;0;0;132
402;492;0;0;46
504;493;0;4;0
496;493;0;4;2
508;494;0;0;13
485;494;0;0;29
512;496;0;4;70
355;497;0;4;110
483;498;0;1;18
512;498;0;0;5
489;498;0;1;5
472;499;0;1;6
501;500;1;1;4
532;500;0;6;69
507;501;1;1;3
488;501;0;1;22
515;505;0;0;10
521;505;0;0;16
516;506;1;7;3
405;506;0;1;43
518;507;0;1;28
514;507;1;1;3
500;509;1;1;4
523;510;0;0;136
520;510;0;2;140
506;511;1;7;3
569;512;0;0;35
509;514;1;1;3
517;516;1;7;3
549;516;0;7;173
511;517;1;7;3
513;518;0;0;6
533;518;0;1;19
509;519;0;1;33
286;520;0;3;376
657;521;0;0;23
497;522;0;0;23
529;522;0;5;291
559;524;0;0;155
545;524;0;0;15
522;525;0;0;3
489;525;0;1;35
459;527;0;0;39
459;527;0;0;39
514;528;0;1;12
532;528;0;2;7
418;530;0;4;153
462;530;0;0;22
517;531;0;1;38
547;532;0;2;12
550;533;0;1;12
528;534;0;1;9
551;534;0;0;18
392;535;0;4;118
539;536;0;0;7
518;536;0;0;17
492;541;0;0;22
552;541;0;0;25
560;542;0;5;12
535;542;0;5;8
531;543;0;1;39
538;543;0;2;10
556;544;0;1;222
525;544;0;0;21
609;545;0;0;16
495;545;0;0;63
548;547;0;2;64
571;547;0;2;11
558;548;0;2;2
540;548;0;2;2
593;550;0;1;11
577;550;0;2;31
536;551;0;0;8
379;553;0;7;110
561;553;1;7;3
531;554;0;0;12
546;554;0;0;19
553;556;1;7;5
393;557;0;0;109
