original;connected;weight;SENS UNIQUE;trafic
2.79403, 50.5833;2.79231, 50.58173;13;0;0
2.79403, 50.5833;2.79087, 50.58488;21;0;0
2.79681, 50.54599;2.79437, 50.54937;30;0;1
2.79681, 50.54599;2.80019, 50.5475;38;0;0
2.7991, 50.52895;2.80116, 50.52781;55;0;0
2.79933, 50.52944;2.7992, 50.52979;7;0;2
2.79933, 50.52944;2.79868, 50.52935;4;0;0
2.80002, 50.52956;2.79933, 50.52944;6;0;0
2.80002, 50.52956;2.8005, 50.52906;14;0;2
2.80019, 50.5475;2.79618, 50.55009;72;0;0
2.80032, 50.54113;2.80278, 50.54155;29;0;2
2.80032, 50.54113;2.79681, 50.54599;67;0;1
2.80061, 50.52998;2.7999, 50.5299;12;0;0
2.80061, 50.52998;2.80075, 50.53095;206;1;0
2.80068, 50.52964;2.80002, 50.52956;6;0;0
2.80068, 50.52964;2.80061, 50.52998;194;0;0
2.80075, 50.53095;2.80095, 50.53239;94;1;0
2.80077, 50.54014;2.80032, 50.54113;13;0;1
2.80077, 50.54014;2.80251, 50.54031;141;0;0
2.80078, 50.52865;2.80059, 50.52903;41;0;2
2.80116, 50.52878;2.80078, 50.52865;11;1;2
2.80116, 50.52878;2.80078, 50.52865;11;1;2
2.80133, 50.53761;2.80077, 50.54014;130;0;1
2.80133, 50.53761;2.80303, 50.53766;16;1;0
2.8015, 50.53684;2.80141, 50.53683;0;0;2
2.8015, 50.53684;2.80133, 50.53761;24;0;1
2.80196, 50.53454;2.80082, 50.53457;13;0;0
2.80196, 50.53454;2.8015, 50.53684;33;0;1
2.80197, 50.53445;2.80196, 50.53454;1;0;1
2.80197, 50.53445;2.8026, 50.53451;6;0;0
2.80204, 50.58955;2.79403, 50.5833;52;0;0
2.80204, 50.58955;2.79667, 50.59118;42;0;0
2.80224, 50.52979;2.80236, 50.53075;117;1;1
2.80224, 50.52979;2.80068, 50.52964;157;0;0
2.80231, 50.52917;2.80116, 50.52878;23;0;2
2.80231, 50.52917;2.80224, 50.52979;211;1;1
2.80232, 50.5331;2.80197, 50.53445;18;0;1
2.80232, 50.5331;2.80277, 50.53359;14;0;0
2.80236, 50.53075;2.80239, 50.53098;120;1;1
2.80239, 50.53098;2.80243, 50.53125;135;1;1
2.80239, 50.53098;2.80075, 50.53095;26;1;0
2.80239, 50.53288;2.80095, 50.53239;201;1;0
2.80239, 50.53288;2.80232, 50.5331;3;0;1
2.80243, 50.53125;2.80246, 50.53164;10;0;1
